# timestamp tx ty tz qx qy qz qw
1413393215.805760622 -1.089845619 0.473003779 1.395580098 -0.569006181 -0.556897867 0.424270090 0.431383382
1413393215.855760574 -1.089252046 0.473228882 1.395504846 -0.569183285 -0.557052210 0.424096419 0.431121157
1413393215.905760527 -1.088340741 0.473477749 1.395438520 -0.569258867 -0.557079813 0.424128428 0.430954175
1413393215.955760479 -1.087105077 0.473876182 1.395479556 -0.569411898 -0.556999370 0.424231670 0.430754318
1413393216.005760670 -1.085279014 0.474315349 1.395555764 -0.569259465 -0.557031059 0.424179438 0.430966199
1413393216.055760384 -1.083280855 0.474761884 1.395608610 -0.569109873 -0.557161915 0.424011158 0.431160169
1413393216.105760574 -1.080984130 0.475480103 1.395437124 -0.569192174 -0.557197518 0.423914074 0.431100979
1413393216.155760527 -1.078296760 0.476237715 1.395290656 -0.568964635 -0.557027813 0.424220235 0.431319431
1413393216.205760717 -1.075303535 0.477099954 1.395241887 -0.569020459 -0.557252141 0.423930657 0.431240729
1413393216.255760431 -1.072322172 0.478367137 1.395234379 -0.569488039 -0.557793160 0.423425087 0.430419981
1413393216.305760622 -1.069084859 0.479845240 1.395166032 -0.570153820 -0.558275621 0.422820052 0.429506875
1413393216.355760574 -1.092174638 0.472363681 1.395647107 -0.572358979 -0.563020169 0.416174429 0.426863366
1413393216.405760527 -1.092202547 0.472189852 1.395418298 -0.572604034 -0.563374606 0.415862367 0.426370924
1413393216.455760479 -1.092554755 0.471861104 1.395743002 -0.572341461 -0.563532996 0.415736713 0.426636614
1413393216.505760670 -1.093286268 0.471904044 1.395400394 -0.573498882 -0.564255620 0.414144879 0.425674343
1413393216.555760384 -1.093738817 0.472144344 1.395182525 -0.574229550 -0.564260434 0.413000807 0.425794457
1413393216.605760574 -1.094168573 0.472585334 1.394758778 -0.575346881 -0.563561027 0.412882871 0.425326545
1413393216.655760527 -1.094914775 0.472687050 1.395149152 -0.575147862 -0.562971674 0.412768846 0.426485299
1413393216.705760717 -1.095307044 0.472571310 1.396365654 -0.574443353 -0.562852851 0.411422074 0.428886208
1413393216.755760431 -1.095141073 0.472642578 1.398433110 -0.574118832 -0.562853359 0.409371813 0.431275296
1413393216.805760622 -1.095268442 0.472445276 1.401185431 -0.573439832 -0.562854391 0.407791078 0.433668227
1413393216.855760574 -1.095233276 0.472050533 1.405312933 -0.572793175 -0.562513804 0.406813293 0.435877441
1413393216.905760527 -1.087917802 0.473909710 1.406922201 -0.571561521 -0.560991798 0.407285950 0.439003172
1413393216.955760479 -1.085056194 0.474735392 1.415104452 -0.570777440 -0.561442353 0.405414514 0.441174195
1413393217.005760670 -1.082540542 0.474121214 1.422396463 -0.570877818 -0.561757173 0.403646564 0.442263323
1413393217.055760384 -1.079351597 0.473355479 1.432413380 -0.571810748 -0.562778259 0.401795355 0.441444892
1413393217.105760574 -1.075111563 0.472245051 1.445013646 -0.572540790 -0.562904776 0.400971011 0.441086732
1413393217.155760527 -1.070694733 0.470122500 1.459172172 -0.573749363 -0.562997664 0.400272427 0.440031001
1413393217.205760717 -1.065451109 0.467393323 1.473329421 -0.574328779 -0.563125759 0.399741089 0.439594012
1413393217.255760431 -1.059879982 0.463765967 1.486527533 -0.574000469 -0.563163066 0.398924778 0.440715152
1413393217.305760622 -1.053842413 0.459630210 1.497527981 -0.574099653 -0.563490404 0.397922936 0.441073111
1413393217.355760574 -1.047043997 0.454939983 1.507017711 -0.574452735 -0.563915715 0.397670128 0.440297163
1413393217.405760527 -1.039511353 0.449490652 1.515293757 -0.574983067 -0.564271787 0.396704007 0.440020174
1413393217.455760479 -1.031433815 0.443061709 1.522646618 -0.575498815 -0.564660642 0.395938965 0.439535902
1413393217.505760670 -1.022681039 0.435846158 1.529107507 -0.575300385 -0.565080441 0.395760021 0.439417305
1413393217.555760384 -1.013289437 0.428438360 1.534771348 -0.575607595 -0.564697361 0.395584015 0.439665867
1413393217.605760574 -1.003609458 0.419160681 1.539922866 -0.575237599 -0.565029055 0.395373559 0.439913197
1413393217.655760527 -0.993939048 0.408758318 1.545169185 -0.575173748 -0.565327698 0.395375484 0.439611170
1413393217.705760717 -0.983929248 0.397228624 1.551972104 -0.575284597 -0.565298532 0.394938838 0.439896029
1413393217.755760431 -0.973693701 0.384751791 1.560977970 -0.575099053 -0.565279839 0.395331255 0.439810166
1413393217.805760622 -0.963370300 0.371704339 1.572083450 -0.575363004 -0.565373503 0.395311663 0.439361929
1413393217.855760574 -0.952301101 0.358581439 1.584400055 -0.576040431 -0.564748621 0.395813181 0.438826095
1413393217.905760527 -0.941556459 0.344130399 1.598488717 -0.575971180 -0.564677627 0.396326800 0.438544690
1413393217.955760479 -0.930400648 0.329194518 1.613696258 -0.575877178 -0.564112827 0.396983835 0.438800671
1413393218.005760670 -0.919254617 0.313682013 1.629050605 -0.576764932 -0.563649823 0.397454525 0.437802456
1413393218.055760384 -0.907741018 0.297923800 1.642823667 -0.577996823 -0.562240168 0.399719142 0.435924619
1413393218.105760574 -0.896331540 0.281964374 1.654674711 -0.580053184 -0.560679535 0.401637773 0.433432651
1413393218.155760527 -0.884655431 0.266325145 1.664860550 -0.582781730 -0.558165845 0.405234985 0.429652128
1413393218.205760717 -0.872155298 0.251164455 1.672318835 -0.585175321 -0.555579799 0.409737316 0.425460060
1413393218.255760431 -0.859524494 0.236466270 1.677024201 -0.588998654 -0.552632607 0.413336981 0.420511982
1413393218.305760622 -0.846769187 0.221958602 1.679093056 -0.592233553 -0.550794049 0.415577029 0.416150294
1413393218.355760574 -0.833670023 0.207380815 1.679278025 -0.592138934 -0.551210833 0.415547211 0.415762692
1413393218.405760527 -0.820112271 0.193356853 1.677577681 -0.590232621 -0.552510833 0.412719735 0.419546962
1413393218.455760479 -0.806224031 0.179519867 1.674157358 -0.587837111 -0.554771405 0.409084112 0.423469490
1413393218.505760670 -0.791621986 0.166583689 1.670056388 -0.584831505 -0.557073377 0.405906273 0.427646420
1413393218.555760384 -0.776983621 0.153638025 1.666238598 -0.582598879 -0.558856051 0.402152877 0.431892954
1413393218.605760574 -0.761858172 0.141022070 1.663242218 -0.580169963 -0.560199226 0.400425381 0.435016270
1413393218.655760527 -0.746585603 0.128245513 1.660796011 -0.578618769 -0.561098138 0.399381486 0.436879421
1413393218.705760717 -0.731553022 0.115171678 1.659143210 -0.579024538 -0.560726062 0.398964132 0.437200743
1413393218.755760431 -0.716127269 0.101993253 1.657807134 -0.579059709 -0.562388295 0.397310715 0.436524289
1413393218.805760622 -0.700797187 0.088781290 1.656292174 -0.581692586 -0.564206476 0.395185391 0.432589060
1413393218.855760574 -0.685823749 0.076010920 1.654962024 -0.587537416 -0.565442186 0.392917343 0.425077500
1413393218.905760527 -0.671201654 0.063073930 1.654010518 -0.592540046 -0.567470239 0.390529218 0.417565267
1413393218.955760479 -0.657277598 0.049965197 1.653017845 -0.596578293 -0.569267393 0.388098704 0.411592481
1413393219.005760670 -0.644127871 0.037446036 1.653176724 -0.599687135 -0.569863216 0.386421579 0.407810764
1413393219.055760384 -0.632467281 0.025198232 1.654688810 -0.601277609 -0.570256771 0.386368044 0.404959488
1413393219.105760574 -0.621963016 0.013445819 1.657571127 -0.600863291 -0.570297376 0.386786382 0.405117889
1413393219.155760527 -0.613141545 0.002346860 1.661369988 -0.600607646 -0.569566339 0.387919654 0.405441714
1413393219.205760717 -0.605848608 -0.008207980 1.665860337 -0.600019519 -0.569501612 0.388867364 0.405495578
1413393219.255760431 -0.599771663 -0.018084551 1.671376406 -0.598802945 -0.569291520 0.390250270 0.406259677
1413393219.305760622 -0.595161819 -0.027151022 1.677621993 -0.597971711 -0.569105415 0.391386465 0.406651564
1413393219.355760574 -0.591845049 -0.035666671 1.683872629 -0.597487881 -0.569357309 0.392071663 0.406349970
1413393219.405760527 -0.589536072 -0.043621098 1.690040532 -0.597389418 -0.568836114 0.393712553 0.405637504
