timestamp_ns,p_x,p_y,p_z,q_w,q_x,q_y,q_z
1413393887255760384,-1.002850000,0.479193000,1.329477000,0.592105117,0.022393004,-0.805188159,0.024127005
1413393887305760512,-1.004046005,0.479058000,1.329318999,0.592031146,0.022403003,-0.805243199,0.024096004
1413393887355760384,-1.004927996,0.478968000,1.329265000,0.592037854,0.022272996,-0.805242802,0.024064997
1413393887405760512,-1.005525000,0.478939000,1.329155000,0.591965986,0.022187999,-0.805299981,0.023997999
1413393887455760384,-1.005917000,0.478907000,1.329184000,0.591883263,0.022160010,-0.805358358,0.024105011
1413393887505760512,-1.006093000,0.478870000,1.329181000,0.591830042,0.022244002,-0.805393057,0.024175002
1413393887555760384,-1.006159000,0.478909000,1.329283000,0.591835033,0.022221001,-0.805387046,0.024274001
1413393887605760512,-1.006091000,0.479048000,1.329476000,0.591889860,0.022184995,-0.805355809,0.024004994
1413393887655760384,-1.005884002,0.479077000,1.329793000,0.592152866,0.021898990,-0.805162817,0.024253998
1413393887705760512,-1.005742000,0.479039000,1.329607000,0.591969790,0.021832992,-0.805296715,0.024336991
1413393887755760384,-1.005682000,0.479051000,1.329704000,0.592092136,0.021794005,-0.805207185,0.024358006
1413393887805760512,-1.005494998,0.479013999,1.329517000,0.591872936,0.021908997,-0.805368914,0.024235001
1413393887855760384,-1.005373002,0.478952000,1.329513001,0.591885312,0.021797011,-0.805359419,0.024349013
1413393887905760512,-1.005223000,0.478964000,1.329260000,0.591619993,0.021812000,-0.805555990,0.024281000
1413393887955760384,-1.005105000,0.478879000,1.329276000,0.591670067,0.021708002,-0.805517092,0.024444003
1413393888005760512,-1.005011000,0.478871000,1.329060000,0.591604071,0.021788003,-0.805567096,0.024322003
1413393888055760384,-1.005046000,0.478830000,1.329061000,0.591436032,0.021675001,-0.805692043,0.024371001
1413393888105760512,-1.005047000,0.478794000,1.328935000,0.591372172,0.021715006,-0.805736235,0.024424007
1413393888155760384,-1.005020001,0.478816000,1.329009000,0.591531105,0.021619004,-0.805623143,0.024391004
1413393888205760512,-1.005060000,0.478766000,1.328876000,0.591357119,0.021653004,-0.805748163,0.024450005
1413393888255760384,-1.005061000,0.478745000,1.328955000,0.591330288,0.021547011,-0.805771393,0.024427012
1413393888305760512,-1.005030999,0.478700000,1.328951000,0.591311969,0.021571999,-0.805784956,0.024400998
1413393888355760384,-1.005021001,0.478668000,1.329098999,0.591330186,0.021488007,-0.805770250,0.024519001
1413393888405760512,-1.004973000,0.478762000,1.329279000,0.591516875,0.021448995,-0.805639830,0.024334995
1413393888455760384,-1.004990000,0.478767000,1.329335000,0.591275148,0.021442005,-0.805814202,0.024442006
1413393888505760512,-1.004923000,0.478882000,1.329421000,0.591234772,0.021445992,-0.805842689,0.024475991
1413393888555760384,-1.004743000,0.478957000,1.329580000,0.591503758,0.021450991,-0.805642671,0.024556990
1413393888605760512,-1.004659000,0.479064000,1.329574000,0.591485788,0.021444992,-0.805654712,0.024599991
1413393888655760384,-1.004803000,0.479047000,1.329823999,0.591534039,0.021346000,-0.805618057,0.024726003
1413393888705760512,-1.004862000,0.479092000,1.329872000,0.591548193,0.021420007,-0.805607263,0.024675008
1413393888755760384,-1.004944000,0.479079000,1.330048000,0.591733908,0.021315997,-0.805469875,0.024796996
1413393888805760512,-1.004974999,0.479061000,1.330001999,0.591800661,0.021377986,-0.805418542,0.024817986
1413393888855760384,-1.004995001,0.479021999,1.329890000,0.591632075,0.021265004,-0.805542104,0.024924001
